player_id,name,age,position,nationality,club,market_value,goals,assists,minutes_played,contract_years_left
72,Player_71,28,ST,Spain,Club_71,€1M,0,0,279,1
73,Player_72,24,GK,Germany,Club_72,€889K,0,3,2964,5
74,Player_73,30,CB,France,Club_73,€1M,2,1,2669,0
75,Player_74,28,LB,Brazil,Club_74,€984K,2,0,2893,4
76,Player_75,16,RB,Argentina,Club_75,€962K,0,1,1892,5
77,Player_76,22,CDM,Italy,Club_76,€973K,2,0,3729,5
78,Player_77,24,CM,Portugal,Club_77,€1M,1,0,1751,5
79,Player_78,16,CAM,Netherlands,Club_78,€1M,1,0,673,0
80,Player_79,27,LM,Belgium,Club_79,€1M,0,1,1151,5
81,Player_80,23,RM,England,Club_80,€902K,0,1,2361,5
82,Player_81,26,LW,Spain,Club_81,€1M,0,1,331,3
83,Player_82,34,RW,Germany,Club_82,€1M,0,1,1173,0
84,Player_83,32,ST,France,Club_83,€1M,2,0,2039,5
85,Player_84,23,GK,Brazil,Club_84,€436K,1,0,1477,4
86,Player_85,18,CB,Argentina,Club_85,€608K,0,0,35,5
87,Player_86,18,LB,Italy,Club_86,€978K,3,0,1708,1
88,Player_87,16,RB,Portugal,Club_87,€1M,1,2,1443,0
89,Player_88,20,CDM,Netherlands,Club_88,€1M,0,3,3093,3
90,Player_89,25,CM,Belgium,Club_89,€1M,0,0,2253,4
91,Player_90,22,CAM,England,Club_90,€1M,1,0,2686,2
92,Player_91,24,LM,Spain,Club_91,€1M,2,3,2895,1
93,Player_92,22,RM,Germany,Club_92,€739K,0,0,1379,1
94,Player_93,24,LW,France,Club_93,€1M,1,0,439,1
95,Player_94,23,RW,Brazil,Club_94,€2M,4,4,2776,4
96,Player_95,27,ST,Argentina,Club_95,€1M,0,0,1119,0
97,Player_96,17,GK,Italy,Club_96,€736K,2,2,2988,0
98,Player_97,16,CB,Portugal,Club_97,€982K,0,0,163,5
99,Player_98,31,LB,Netherlands,Club_98,€438K,0,0,147,5
100,Player_99,20,RB,Belgium,Club_99,€1M,2,0,3601,0
101,Player_100,18,CDM,England,Club_100,€842K,0,1,2341,5
102,Player_101,27,CM,Spain,Club_101,€1M,0,0,194,0
103,Player_102,23,CAM,Germany,Club_102,€1M,0,0,662,1
104,Player_103,18,LM,France,Club_103,€810K,0,0,479,2
105,Player_104,16,RM,Brazil,Club_104,€1M,0,0,122,1
106,Player_105,18,LW,Argentina,Club_105,€1M,0,0,1423,5
107,Player_106,20,RW,Italy,Club_106,€2M,3,1,2746,2
108,Player_107,30,ST,Portugal,Club_107,€2M,0,0,964,2
109,Player_108,29,GK,Netherlands,Club_108,€782K,4,2,3523,0
110,Player_109,18,CB,Belgium,Club_109,€984K,1,0,2708,3
111,Player_110,16,LB,England,Club_110,€356K,0,1,3175,4
112,Player_111,20,RB,Spain,Club_111,€1M,0,2,1778,3
113,Player_112,29,CDM,Germany,Club_112,€1M,1,1,1485,2
114,Player_113,22,CM,France,Club_113,€1M,0,1,2014,3
115,Player_114,24,CAM,Brazil,Club_114,€2M,0,4,3789,5
116,Player_115,30,LM,Argentina,Club_115,€898K,1,0,709,2
117,Player_116,30,RM,Italy,Club_116,€792K,2,0,2443,1
118,Player_117,25,LW,Portugal,Club_117,€2M,1,0,911,5
119,Player_118,28,RW,Netherlands,Club_118,€1M,0,0,1360,1
120,Player_119,34,ST,Belgium,Club_119,€1M,3,1,3052,5
121,Player_120,22,GK,England,Club_120,€737K,1,3,3670,0
122,Player_121,32,CB,Spain,Club_121,€723K,1,3,3213,5
123,Player_122,35,LB,Germany,Club_122,€532K,0,1,2364,4
124,Player_123,19,RB,France,Club_123,€673K,1,1,1734,1
125,Player_124,20,CDM,Brazil,Club_124,€1M,1,5,3629,5
126,Player_125,22,CM,Argentina,Club_125,€1M,1,0,1823,4
127,Player_126,28,CAM,Italy,Club_126,€884K,0,0,3598,0
128,Player_127,30,LM,Portugal,Club_127,€878K,0,0,1579,5
129,Player_128,26,RM,Netherlands,Club_128,€2M,6,0,3472,4
130,Player_129,19,LW,Belgium,Club_129,€1M,0,0,680,5
131,Player_130,28,RW,England,Club_130,€1M,1,1,1333,1
132,Player_131,22,ST,Spain,Club_131,€1M,0,0,2542,1
133,Player_132,34,GK,Germany,Club_132,€452K,0,0,555,3
134,Player_133,17,CB,France,Club_133,€807K,0,1,609,3
135,Player_134,25,LB,Brazil,Club_134,€1M,2,1,2156,5
136,Player_135,28,RB,Argentina,Club_135,€1M,1,0,371,3
137,Player_136,21,CDM,Italy,Club_136,€1M,2,0,2902,5
138,Player_137,27,CM,Portugal,Club_137,€1M,1,0,615,5
139,Player_138,27,CAM,Netherlands,Club_138,€1M,1,2,2815,4
140,Player_139,35,LM,Belgium,Club_139,€1M,2,0,1914,1
141,Player_140,26,RM,England,Club_140,€1M,0,0,2253,0
142,Player_141,22,LW,Spain,Club_141,€1M,0,0,846,2
143,Player_142,16,RW,Germany,Club_142,€858K,0,0,42,1
144,Player_143,16,ST,France,Club_143,€2M,1,0,864,3
145,Player_144,35,GK,Brazil,Club_144,€387K,1,0,1268,5
146,Player_145,28,CB,Argentina,Club_145,€1M,1,1,3358,3
147,Player_146,24,LB,Italy,Club_146,€390K,1,0,1378,4
148,Player_147,18,RB,Portugal,Club_147,€765K,3,0,784,3
149,Player_148,22,CDM,Netherlands,Club_148,€995K,0,0,475,4
150,Player_149,21,CM,Belgium,Club_149,€967K,0,0,82,0
151,Player_150,23,CAM,England,Club_150,€1M,0,1,1133,5
152,Player_151,24,LM,Spain,Club_151,€996K,1,0,2237,3
153,Player_152,20,RM,Germany,Club_152,€1M,0,0,799,4
154,Player_153,16,LW,France,Club_153,€1M,0,0,935,3
155,Player_154,34,RW,Brazil,Club_154,€1M,0,1,2298,4
156,Player_155,25,ST,Argentina,Club_155,€4M,2,3,3795,5
157,Player_156,27,GK,Italy,Club_156,€878K,0,1,2338,5
158,Player_157,30,CB,Portugal,Club_157,€1M,1,1,1668,1
159,Player_158,24,LB,Netherlands,Club_158,€1M,3,0,3272,4
160,Player_159,35,RB,Belgium,Club_159,€251K,0,0,325,2
161,Player_160,32,CDM,England,Club_160,€864K,1,1,1534,0
162,Player_161,32,CM,Spain,Club_161,€585K,2,0,3480,1
163,Player_162,35,CAM,Germany,Club_162,€712K,2,3,3678,0
164,Player_163,27,LM,France,Club_163,€629K,0,0,1985,1
165,Player_164,22,RM,Brazil,Club_164,€1M,0,1,1964,3
166,Player_165,17,LW,Argentina,Club_165,€1M,2,0,836,4
167,Player_166,18,RW,Italy,Club_166,€1M,0,0,507,3
168,Player_167,32,ST,Portugal,Club_167,€977K,2,1,2778,0
169,Player_168,20,GK,Netherlands,Club_168,€812K,2,3,3672,5
170,Player_169,32,CB,Belgium,Club_169,€575K,0,0,2119,0
171,Player_170,32,LB,England,Club_170,€754K,2,0,1270,1
172,Player_171,32,RB,Spain,Club_171,€363K,0,0,640,0
173,Player_172,17,CDM,Germany,Club_172,€546K,0,1,3795,4
174,Player_173,17,CM,France,Club_173,€1M,2,1,2987,0
175,Player_174,20,CAM,Brazil,Club_174,€1M,2,0,1878,3
176,Player_175,16,LM,Argentina,Club_175,€1M,0,0,607,5
177,Player_176,16,RM,Italy,Club_176,€1M,3,1,3658,4
178,Player_177,34,LW,Portugal,Club_177,€1M,3,3,1958,0
179,Player_178,17,RW,Netherlands,Club_178,€1M,0,0,565,2
180,Player_179,27,ST,Belgium,Club_179,€2M,1,0,1367,2
181,Player_180,21,GK,England,Club_180,€846K,1,0,2101,5
182,Player_181,19,CB,Spain,Club_181,€575K,0,1,1753,3
183,Player_182,26,LB,Germany,Club_182,€1M,2,0,2575,1
184,Player_183,32,RB,France,Club_183,€846K,2,4,2658,1
185,Player_184,21,CDM,Brazil,Club_184,€618K,4,1,3603,5
186,Player_185,20,CM,Argentina,Club_185,€1M,0,1,1581,0
187,Player_186,35,CAM,Italy,Club_186,€1M,1,0,1986,4
188,Player_187,17,LM,Portugal,Club_187,€1M,1,1,2240,5
189,Player_188,21,RM,Netherlands,Club_188,€1M,3,0,2105,1
190,Player_189,26,LW,Belgium,Club_189,€2M,3,2,3508,2
191,Player_190,31,RW,England,Club_190,€1M,4,1,3182,1
192,Player_191,31,ST,Spain,Club_191,€748K,0,0,128,2
193,Player_192,16,GK,Germany,Club_192,€673K,0,0,1872,1
194,Player_193,24,CB,France,Club_193,€1M,0,0,705,3
195,Player_194,21,LB,Brazil,Club_194,€521K,1,0,851,5
196,Player_195,31,RB,Argentina,Club_195,€901K,3,0,3397,4
197,Player_196,18,CDM,Italy,Club_196,€907K,0,0,7,5
198,Player_197,35,CM,Portugal,Club_197,€638K,1,0,2076,0
199,Player_198,19,CAM,Netherlands,Club_198,€1M,0,0,1135,2
200,Player_199,34,LM,Belgium,Club_199,€1M,2,1,2994,1
201,Player_200,18,RM,England,Club_0,€1M,1,2,3744,0
202,Player_201,34,LW,Spain,Club_1,€1M,3,1,2178,2
203,Player_202,35,RW,Germany,Club_2,€634K,1,0,2235,5
204,Player_203,22,ST,France,Club_3,€2M,1,1,1698,2
205,Player_204,35,GK,Brazil,Club_4,€601K,1,2,2756,3
206,Player_205,24,CB,Argentina,Club_5,€1M,2,2,1498,1
207,Player_206,16,LB,Italy,Club_6,€597K,3,2,3435,5
208,Player_207,23,RB,Portugal,Club_7,€757K,1,0,3275,0
209,Player_208,22,CDM,Netherlands,Club_8,€1M,2,0,2259,1
210,Player_209,33,CM,Belgium,Club_9,€955K,3,1,1644,5
211,Player_210,23,CAM,England,Club_10,€1M,0,0,275,1
212,Player_211,16,LM,Spain,Club_11,€1M,1,1,3144,4
213,Player_212,26,RM,Germany,Club_12,€834K,1,0,1702,2
214,Player_213,33,LW,France,Club_13,€1M,0,1,1795,2
215,Player_214,25,RW,Brazil,Club_14,€1M,0,0,242,4
216,Player_215,18,ST,Argentina,Club_15,€1M,2,1,3173,4
217,Player_216,22,GK,Italy,Club_16,€459K,0,1,3034,1
218,Player_217,31,CB,Portugal,Club_17,€505K,1,2,2732,2
219,Player_218,31,LB,Netherlands,Club_18,€293K,0,0,170,0
220,Player_219,35,RB,Belgium,Club_19,€596K,0,0,652,3
221,Player_220,32,CDM,England,Club_20,€587K,4,1,1932,5
222,Player_221,17,CM,Spain,Club_21,€1M,0,1,2235,4
223,Player_222,16,CAM,Germany,Club_22,€1M,0,1,3512,0
224,Player_223,31,LM,France,Club_23,€822K,0,1,1109,0
225,Player_224,27,RM,Brazil,Club_24,€1M,3,1,1499,1
226,Player_225,20,LW,Argentina,Club_25,€2M,2,0,2099,4
227,Player_226,20,RW,Italy,Club_26,€1M,1,1,2158,0
228,Player_227,24,ST,Portugal,Club_27,€1M,1,1,1972,3
229,Player_228,24,GK,Netherlands,Club_28,€1M,3,0,2924,0
230,Player_229,18,CB,Belgium,Club_29,€728K,0,0,1066,3
231,Player_230,34,LB,England,Club_30,€344K,2,0,2258,3
232,Player_231,31,RB,Spain,Club_31,€628K,1,2,2035,3
233,Player_232,31,CDM,Germany,Club_32,€629K,0,0,3271,4
234,Player_233,18,CM,France,Club_33,€907K,1,0,857,3
235,Player_234,35,CAM,Brazil,Club_34,€1M,0,1,2674,4
236,Player_235,16,LM,Argentina,Club_35,€1M,3,0,1049,0
237,Player_236,35,RM,Italy,Club_36,€1M,1,0,298,3
238,Player_237,26,LW,Portugal,Club_37,€1M,1,0,3148,2
239,Player_238,32,RW,Netherlands,Club_38,€1M,0,1,923,0
240,Player_239,23,ST,Belgium,Club_39,€1M,0,0,136,5
241,Player_240,19,GK,England,Club_40,€484K,0,0,1043,2
242,Player_241,21,CB,Spain,Club_41,€751K,1,0,2487,2
243,Player_242,23,LB,Germany,Club_42,€761K,0,0,210,1
244,Player_243,35,RB,France,Club_43,€236K,0,0,2799,4
245,Player_244,18,CDM,Brazil,Club_44,€411K,1,0,1574,1
246,Player_245,31,CM,Argentina,Club_45,€1M,0,2,2482,4
247,Player_246,18,CAM,Italy,Club_46,€1M,0,0,779,1
248,Player_247,33,LM,Portugal,Club_47,€748K,0,1,1230,0
249,Player_248,29,RM,Netherlands,Club_48,€1M,1,4,2486,2
250,Player_249,33,LW,Belgium,Club_49,€1M,2,0,1802,0
251,Player_250,17,RW,England,Club_50,€1M,2,0,2713,4
252,Player_251,18,ST,Spain,Club_51,€1M,0,0,1065,2
253,Player_252,31,GK,Germany,Club_52,€571K,0,0,410,2
254,Player_253,24,CB,France,Club_53,€1M,2,1,3594,4
255,Player_254,19,LB,Brazil,Club_54,€591K,0,1,2853,0
256,Player_255,16,RB,Argentina,Club_55,€1M,1,2,2657,2
257,Player_256,19,CDM,Italy,Club_56,€749K,0,0,426,5
258,Player_257,16,CM,Portugal,Club_57,€960K,1,1,3346,0
259,Player_258,29,CAM,Netherlands,Club_58,€1M,3,0,1471,0
260,Player_259,31,LM,Belgium,Club_59,€821K,0,0,2949,0
261,Player_260,35,RM,England,Club_60,€1M,0,1,941,2
262,Player_261,23,LW,Spain,Club_61,€737K,0,0,1907,3
263,Player_262,22,RW,Germany,Club_62,€1M,1,0,741,1
264,Player_263,18,ST,France,Club_63,€2M,1,0,1392,4
265,Player_264,32,GK,Brazil,Club_64,€278K,1,1,1243,0
266,Player_265,16,CB,Argentina,Club_65,€1M,1,2,1600,2
267,Player_266,31,LB,Italy,Club_66,€390K,1,1,1255,4
268,Player_267,27,RB,Portugal,Club_67,€816K,1,0,327,3
269,Player_268,34,CDM,Netherlands,Club_68,€467K,0,0,1466,5
270,Player_269,29,CM,Belgium,Club_69,€820K,1,3,2099,3
271,Player_270,21,CAM,England,Club_70,€2M,2,2,1966,2
272,Player_271,21,LM,Spain,Club_71,€1M,0,0,375,0
273,Player_272,28,RM,Germany,Club_72,€1M,0,0,262,3
274,Player_273,34,LW,France,Club_73,€1M,1,0,266,3
275,Player_274,23,RW,Brazil,Club_74,€2M,3,1,2406,3
276,Player_275,17,ST,Argentina,Club_75,€2M,3,1,3388,5
277,Player_276,16,GK,Italy,Club_76,€681K,1,0,3395,2
278,Player_277,30,CB,Portugal,Club_77,€1M,1,0,1944,4
279,Player_278,16,LB,Netherlands,Club_78,€964K,1,2,3737,1
280,Player_279,20,RB,Belgium,Club_79,€1M,3,1,1893,2
281,Player_280,31,CDM,England,Club_80,€347K,0,1,1901,0
282,Player_281,34,CM,Spain,Club_81,€502K,0,0,2699,2
283,Player_282,19,CAM,Germany,Club_82,€1M,2,2,3634,2
284,Player_283,18,LM,France,Club_83,€1M,1,0,1652,5
285,Player_284,32,RM,Brazil,Club_84,€1M,1,0,1444,1
286,Player_285,32,LW,Argentina,Club_85,€1M,0,1,45,1
287,Player_286,27,RW,Italy,Club_86,€1M,0,2,599,1
288,Player_287,29,ST,Portugal,Club_87,€1M,0,0,719,4
289,Player_288,21,GK,Netherlands,Club_88,€868K,1,0,1912,2
290,Player_289,18,CB,Belgium,Club_89,€1M,1,0,1292,5
291,Player_290,24,LB,England,Club_90,€403K,0,0,600,0
292,Player_291,20,RB,Spain,Club_91,€863K,0,0,380,1
293,Player_292,32,CDM,Germany,Club_92,€519K,0,0,117,1
294,Player_293,29,CM,France,Club_93,€1M,1,4,3637,2
295,Player_294,18,CAM,Brazil,Club_94,€1M,2,0,2163,0
296,Player_295,16,LM,Argentina,Club_95,€2M,5,0,3701,5
297,Player_296,35,RM,Italy,Club_96,€1M,0,0,259,1
298,Player_297,16,LW,Portugal,Club_97,€786K,0,0,1098,2
299,Player_298,18,RW,Netherlands,Club_98,€1M,1,0,1503,3
300,Player_299,33,ST,Belgium,Club_99,€1M,3,0,2352,5
301,Player_300,25,GK,England,Club_100,€510K,1,1,2054,4
302,Player_301,18,CB,Spain,Club_101,€729K,0,0,365,5
303,Player_302,23,LB,Germany,Club_102,€551K,1,0,1657,2
304,Player_303,29,RB,France,Club_103,€604K,1,0,2570,1
305,Player_304,33,CDM,Brazil,Club_104,€579K,1,2,3419,5
306,Player_305,30,CM,Argentina,Club_105,€1M,2,0,1461,0
307,Player_306,17,CAM,Italy,Club_106,€1M,1,0,2024,3
308,Player_307,25,LM,Portugal,Club_107,€1M,2,0,3286,0
309,Player_308,17,RM,Netherlands,Club_108,€873K,1,0,2476,0
310,Player_309,32,LW,Belgium,Club_109,€941K,1,0,790,0
311,Player_310,23,RW,England,Club_110,€857K,1,0,3569,2
312,Player_311,16,ST,Spain,Club_111,€1M,2,1,3611,2
313,Player_312,24,GK,Germany,Club_112,€428K,0,0,746,5
314,Player_313,26,CB,France,Club_113,€511K,0,0,2414,4
315,Player_314,31,LB,Brazil,Club_114,€570K,0,1,312,3
316,Player_315,22,RB,Argentina,Club_115,€1M,0,0,537,5
317,Player_316,25,CDM,Italy,Club_116,€487K,0,0,920,0
318,Player_317,18,CM,Portugal,Club_117,€1M,0,0,1077,5
319,Player_318,33,CAM,Netherlands,Club_118,€938K,3,1,3612,1
320,Player_319,28,LM,Belgium,Club_119,€1M,1,0,1490,5
321,Player_320,22,RM,England,Club_120,€1M,1,0,2912,5
322,Player_321,19,LW,Spain,Club_121,€2M,3,2,3235,0
323,Player_322,28,RW,Germany,Club_122,€944K,0,2,2829,5
324,Player_323,35,ST,France,Club_123,€1M,0,0,2381,3
325,Player_324,16,GK,Brazil,Club_124,€381K,2,1,3618,0
326,Player_325,23,CB,Argentina,Club_125,€762K,0,0,797,2
327,Player_326,29,LB,Italy,Club_126,€807K,0,0,347,2
328,Player_327,31,RB,Portugal,Club_127,€575K,0,0,272,5
329,Player_328,29,CDM,Netherlands,Club_128,€1M,1,2,3010,5
330,Player_329,27,CM,Belgium,Club_129,€1M,0,1,719,3
331,Player_330,34,CAM,England,Club_130,€1M,2,0,1773,4
332,Player_331,30,LM,Spain,Club_131,€1M,1,1,3485,0
333,Player_332,17,RM,Germany,Club_132,€778K,0,1,2547,3
334,Player_333,17,LW,France,Club_133,€1M,0,1,3164,5
335,Player_334,34,RW,Brazil,Club_134,€930K,1,0,684,5
336,Player_335,32,ST,Argentina,Club_135,€866K,0,1,2126,5
337,Player_336,35,GK,Italy,Club_136,€254K,0,0,621,5
338,Player_337,25,CB,Portugal,Club_137,€1M,0,1,2039,1
339,Player_338,21,LB,Netherlands,Club_138,€964K,1,1,3288,5
340,Player_339,30,RB,Belgium,Club_139,€527K,0,1,946,5
341,Player_340,26,CDM,England,Club_140,€987K,1,0,2405,1
342,Player_341,20,CM,Spain,Club_141,€1M,2,0,2665,4
343,Player_342,16,CAM,Germany,Club_142,€1M,0,0,506,2
344,Player_343,23,LM,France,Club_143,€1M,0,2,1582,5
345,Player_344,27,RM,Brazil,Club_144,€2M,2,2,3252,5
346,Player_345,27,LW,Argentina,Club_145,€2M,4,1,2623,3
347,Player_346,20,RW,Italy,Club_146,€1M,1,2,3317,0
348,Player_347,22,ST,Portugal,Club_147,€1M,0,0,243,3
349,Player_348,19,GK,Netherlands,Club_148,€475K,0,0,505,5
350,Player_349,21,CB,Belgium,Club_149,€556K,1,1,421,4
351,Player_350,28,LB,England,Club_150,€689K,1,2,3391,3
352,Player_351,35,RB,Spain,Club_151,€803K,3,4,3158,4
353,Player_352,30,CDM,Germany,Club_152,€562K,1,2,2264,4
354,Player_353,18,CM,France,Club_153,€1M,3,2,3561,5
355,Player_354,23,CAM,Brazil,Club_154,€1M,1,3,3590,4
356,Player_355,35,LM,Argentina,Club_155,€1M,2,2,3349,3
357,Player_356,31,RM,Italy,Club_156,€1M,0,0,1872,1
358,Player_357,28,LW,Portugal,Club_157,€2M,2,0,3793,0
359,Player_358,33,RW,Netherlands,Club_158,€1M,3,1,3056,4
360,Player_359,25,ST,Belgium,Club_159,€2M,1,1,1192,5
361,Player_360,34,GK,England,Club_160,€242K,0,0,329,2
362,Player_361,32,CB,Spain,Club_161,€365K,0,0,649,4
363,Player_362,34,LB,Germany,Club_162,€808K,2,2,1464,3
364,Player_363,20,RB,France,Club_163,€596K,0,0,390,4
365,Player_364,24,CDM,Brazil,Club_164,€1M,1,0,1519,2
366,Player_365,27,CM,Argentina,Club_165,€1M,0,0,380,1
367,Player_366,16,CAM,Italy,Club_166,€1M,2,2,3377,3
368,Player_367,16,LM,Portugal,Club_167,€1M,0,1,741,3
369,Player_368,30,RM,Netherlands,Club_168,€1M,2,3,2010,5
370,Player_369,17,LW,Belgium,Club_169,€1M,0,0,819,3
371,Player_370,31,RW,England,Club_170,€1M,0,0,672,2
372,Player_371,23,ST,Spain,Club_171,€4M,3,1,2560,3
373,Player_372,28,GK,Germany,Club_172,€735K,0,0,1771,1
374,Player_373,16,CB,France,Club_173,€1M,2,0,2996,0
375,Player_374,31,LB,Brazil,Club_174,€273K,0,1,1211,0
376,Player_375,22,RB,Argentina,Club_175,€508K,1,0,929,4
377,Player_376,20,CDM,Italy,Club_176,€474K,0,0,1539,0
378,Player_377,18,CM,Portugal,Club_177,€803K,0,0,912,2
379,Player_378,27,CAM,Netherlands,Club_178,€1M,0,0,643,0
380,Player_379,31,LM,Belgium,Club_179,€1M,0,0,426,2
381,Player_380,34,RM,England,Club_180,€770K,0,0,501,2
382,Player_381,20,LW,Spain,Club_181,€1M,0,0,729,4
383,Player_382,29,RW,Germany,Club_182,€1M,1,0,1283,0
384,Player_383,20,ST,France,Club_183,€1M,2,1,3584,4
385,Player_384,30,GK,Brazil,Club_184,€683K,0,1,2118,3
386,Player_385,32,CB,Argentina,Club_185,€577K,0,0,2525,1
387,Player_386,29,LB,Italy,Club_186,€960K,4,2,3249,0
388,Player_387,35,RB,Portugal,Club_187,€577K,0,0,456,3
389,Player_388,20,CDM,Netherlands,Club_188,€587K,1,2,2236,5
390,Player_389,27,CM,Belgium,Club_189,€1M,0,0,290,3
391,Player_390,31,CAM,England,Club_190,€1M,2,0,3591,4
392,Player_391,31,LM,Spain,Club_191,€1M,0,0,919,4
393,Player_392,22,RM,Germany,Club_192,€2M,1,0,2339,1
394,Player_393,19,LW,France,Club_193,€1M,3,0,1969,1
395,Player_394,16,RW,Brazil,Club_194,€909K,1,0,755,1
396,Player_395,20,ST,Argentina,Club_195,€1M,1,0,1658,1
397,Player_396,25,GK,Italy,Club_196,€477K,0,0,1834,4
398,Player_397,20,CB,Portugal,Club_197,€649K,1,0,1306,2
399,Player_398,19,LB,Netherlands,Club_198,€1M,2,0,1567,4
400,Player_399,17,RB,Belgium,Club_199,€512K,0,0,1869,2
401,Player_400,35,CDM,England,Club_0,€723K,0,0,376,4
402,Player_401,25,CM,Spain,Club_1,€1M,3,1,3729,5
403,Player_402,34,CAM,Germany,Club_2,€663K,1,0,1179,4
404,Player_403,16,LM,France,Club_3,€995K,0,0,507,1
405,Player_404,20,RM,Brazil,Club_4,€1M,1,0,1436,2
406,Player_405,28,LW,Argentina,Club_5,€1M,1,1,2575,3
407,Player_406,19,RW,Italy,Club_6,€1M,1,0,3426,5
408,Player_407,31,ST,Portugal,Club_7,€716K,0,0,558,3
